全国编号,地区编号（旧）,地区编号（新）,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#214,#168,#175,赫拉克罗斯,蟲/格斗,毅力/蟲之預感,自信过度,独角宝可梦,1.5m,54.0kg,45,"['80', '125', '75', '40', '95', '85', '500']"
#111,#169,#176,独角犀牛,地面/岩石,避雷针/坚硬脑袋,舍身,尖尖宝可梦,1.0m,115.0kg,120,"['80', '85', '95', '30', '30', '25', '345']"
#112,#170,#177,钻角犀兽,地面/岩石,避雷针/坚硬脑袋,舍身,钻锥宝可梦,1.9m,120.0kg,60,"['105', '130', '120', '45', '45', '40', '485']"
#464,,#178,超甲狂犀,地面/岩石,坚硬岩石/避雷针,舍身,钻锥宝可梦,2.4m,282.8kg,30,"['115', '140', '130', '55', '55', '40', '535']"
#361,#171,#179,雪童子,冰,冰冻之躯/精神力,心情不定,雪笠宝可梦,0.7m,16.8kg,190,"['50', '50', '50', '50', '50', '50', '300']"
#362,#172,#180,冰鬼护,冰,冰冻之躯/精神力,心情不定,脸面宝可梦,1.5m,256.5kg,75,"['80', '80', '80', '80', '80', '80', '480']"
#478,,#181,雪妖女,冰/幽靈,雪隐,诅咒之躯,雪国宝可梦,1.3m,26.6kg,75,"['70', '80', '70', '80', '70', '110', '480']"
#363,#173,#182,海豹球,冰/水,冰冻之躯/厚脂肪,迟钝,拍手宝可梦,0.8m,39.5kg,255,"['70', '40', '50', '55', '50', '25', '290']"
#364,#174,#183,海魔狮,冰/水,冰冻之躯/厚脂肪,迟钝,滚球宝可梦,1.1m,87.6kg,120,"['90', '60', '70', '75', '70', '45', '410']"
#365,#175,#184,帝牙海狮,冰/水,冰冻之躯/厚脂肪,迟钝,破冰宝可梦,1.4m,150.6kg,45,"['110', '80', '90', '95', '90', '65', '530']"
#366,#176,#185,珍珠贝,水,硬壳盔甲,胆怯,双壳贝宝可梦,0.4m,52.5kg,255,"['35', '64', '85', '74', '55', '32', '345']"
#367,#177,#186,猎斑鱼,水,悠游自如,水幕,深海宝可梦,1.7m,27.0kg,60,"['55', '104', '105', '94', '75', '52', '485']"
#368,#178,#187,樱花鱼,水,悠游自如,湿润之躯,南海宝可梦,1.8m,22.6kg,60,"['55', '84', '105', '114', '75', '52', '485']"
#369,#179,#188,古空棘鱼,水/岩石,悠游自如/坚硬脑袋,结实,长寿宝可梦,1.0m,23.4kg,25,"['100', '90', '130', '45', '65', '55', '485']"
#222,#180,#189,太阳珊瑚,水/岩石,活力/自然回复,再生力,珊瑚宝可梦,0.6m,5.0kg,60,"['65', '55', '95', '65', '95', '35', '410']"
#170,#181,#190,灯笼鱼,水/電,发光/蓄电,储水,琵琶鱼宝可梦,0.5m,12.0kg,190,"['75', '38', '38', '56', '56', '67', '330']"
#171,#182,#191,电灯怪,水/電,发光/蓄电,储水,灯宝可梦,1.2m,22.5kg,75,"['125', '58', '58', '76', '76', '67', '460']"
#370,#183,#192,爱心鱼,水,悠游自如,湿润之躯,相随宝可梦,0.6m,8.7kg,225,"['43', '30', '55', '40', '65', '97', '330']"
#116,#184,#193,墨海马,水,悠游自如/狙击手,湿气,龙宝可梦,0.4m,8.0kg,225,"['30', '40', '70', '70', '25', '60', '295']"
#117,#185,#194,海刺龙,水,毒刺/狙击手,湿气,龙宝可梦,1.2m,25.0kg,75,"['55', '65', '95', '95', '45', '85', '440']"
#230,#186,#195,刺龙王,水/龍,悠游自如/狙击手,湿气,龙宝可梦,1.8m,152.0kg,45,"['75', '95', '95', '95', '95', '85', '540']"
#371,#187,#196,宝贝龙,龍,坚硬脑袋,强行,坚硬脑袋宝可梦,0.6m,42.1kg,45,"['45', '75', '60', '40', '30', '50', '300']"
#372,#188,#197,甲壳龙,龍,坚硬脑袋,防尘,耐力宝可梦,1.1m,110.5kg,45,"['65', '95', '100', '60', '50', '50', '420']"
#373,#189,#198,暴飞龙,龍/飛行,威吓,自信过度,龙宝可梦,1.5m,102.6kg,45,"['95', '135', '80', '110', '80', '100', '600']"
#374,#190,#199,铁哑铃,鋼/超能力,恒净之躯,轻金属,铁球宝可梦,0.6m,95.2kg,3,"['40', '55', '80', '35', '60', '30', '300']"
#375,#191,#200,金属怪,鋼/超能力,恒净之躯,轻金属,铁爪宝可梦,1.2m,202.5kg,3,"['60', '75', '100', '55', '80', '50', '420']"
#376,#192,#201,巨金怪,鋼/超能力,恒净之躯,轻金属,铁足宝可梦,1.6m,550.0kg,3,"['80', '135', '130', '95', '90', '70', '600']"
#377,#193,#202,雷吉洛克,岩石,恒净之躯,结实,岩山宝可梦,1.7m,230.0kg,3,"['80', '100', '200', '50', '100', '50', '580']"
#378,#194,#203,雷吉艾斯,冰,恒净之躯,冰冻之躯,冰山宝可梦,1.8m,175.0kg,3,"['80', '50', '100', '100', '200', '50', '580']"
#379,#195,#204,雷吉斯奇鲁,鋼,恒净之躯,轻金属,黑金宝可梦,1.9m,205.0kg,3,"['80', '75', '150', '75', '150', '50', '580']"
#380,#196,#205,拉帝亚斯,龍/超能力,飘浮,,无限宝可梦,1.4m,40.0kg,3,"['80', '80', '90', '110', '130', '110', '600']"
#381,#197,#206,拉帝欧斯,龍/超能力,飘浮,,无限宝可梦,2.0m,60.0kg,3,"['80', '90', '80', '130', '110', '110', '600']"
#382,#198,#207,盖欧卡,水,降雨,,海底宝可梦,4.5m,352.0kg,3,"['100', '100', '90', '150', '140', '90', '670']"
#383,#199,#208,固拉多,地面,日照,,大陆宝可梦,3.5m,950.0kg,3,"['100', '150', '140', '100', '90', '90', '670']"
#384,#200,#209,烈空坐,龍/飛行,气闸,,天空宝可梦,7.0m,206.5kg,3,"['105', '150', '90', '150', '90', '95', '680']"
#385,#201,#210,基拉祈,鋼/超能力,天恩,,祈愿宝可梦,0.3m,1.1kg,3,"['100', '100', '100', '100', '100', '100', '600']"
#386,#202,#211,代欧奇希斯,超能力,压迫感,,ＤＮＡ宝可梦,1.7m,60.8kg,3,"['50', '150', '50', '150', '50', '150', '600']"
