电影,导演,主演,时间,国家,类型,评分,评价人数（人）,评语
166.达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳,2013,美国,剧情 传记 同性,8.8,460738,Jared Leto的腿比女人还美！
167.心迷宫,忻钰坤 Yukun Xin,霍卫民,2014,中国大陆,剧情 犯罪 悬疑,8.7,535271,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
168.疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,疯狂原始人,2013,美国,喜剧 动画 冒险,8.7,852288,老少皆宜，这就是好莱坞动画的魅力。
169.谍影重重3,保罗·格林格拉斯 Paul Greengrass,马特·达蒙,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.8,426500,像吃了苏打饼一样干脆的电影。
170.英雄本色,吴宇森 John Woo,周润发,1986,中国香港,剧情 动作 犯罪,8.6,551814,英雄泪短，兄弟情长。 
171.上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,上帝之城,2002,巴西 法国,犯罪 剧情,9.0,305874,被上帝抛弃了的上帝之城。
172.风之谷,宫崎骏 Hayao Miyazaki,岛本须美,1984,日本,动画 奇幻 冒险,8.9,360146,动画片的圣经。
173.纵横四海,吴宇森 John Woo,周润发,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,434010,香港浪漫主义警匪动作片的巅峰之作。
174.卢旺达饭店,特瑞·乔治 Terry George,唐·钱德尔,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,336107,当这个世界闭上双眼，他却敞开了怀抱。
175.爱在午夜降临前,理查德·林克莱特 Richard Linklater,伊桑·霍克,2013,美国 希腊,剧情 爱情,8.9,413081,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
176.海街日记,是枝裕和 Hirokazu Koreeda,绫濑遥,2015,日本,剧情 家庭,8.8,458456,是枝裕和的家庭习作。
177.绿里奇迹,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,339262,天使暂时离开。
178.小丑,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,1025703,无
179.记忆碎片,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,614820,一个针管引发的血案。
180.背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华,1994,中国大陆 中国香港,剧情,9.5,140043,无
181.疯狂的石头,宁浩 Hao Ning,郭涛,2006,中国大陆 中国香港,喜剧 犯罪,8.6,838656,中国版《两杆大烟枪》。
182.心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,美国,动画 奇幻 音乐,8.7,1005625,无
183.雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,1952,美国,喜剧 歌舞 爱情,9.1,232002,骨灰级歌舞片。
184.2001太空漫游,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉,1968,英国 美国,科幻 惊悚 冒险,8.9,339656,现代科幻电影的开山之作，最伟大导演的最伟大影片。
185.岁月神偷,罗启锐 Alex Law,吴君如,2010,中国香港 中国大陆,剧情 家庭,8.7,580633,岁月流逝，来日可追。
186.忠犬八公物语,神山征二郎 Seijirô Kôyama,仲代达矢,1987,日本,剧情,9.2,199526,养狗三日，便会对你终其一生。
187.无间道2,刘伟强 / 麦兆辉,陈冠希,2003,中国香港,剧情 犯罪 惊悚,8.7,491004,无
188.荒蛮故事,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,451581,始于荒诞，止于更荒诞。
189.小偷家族,是枝裕和 Hirokazu Koreeda,中川雅也,2018,日本,剧情 犯罪 家庭,8.7,824115,我们组成了家。
190.无敌破坏王,瑞奇·莫尔 Rich Moore,约翰·C·赖利,2012,美国,喜剧 动画 奇幻 冒险,8.7,551405,迪士尼和皮克斯拿错剧本的产物。
191.爆裂鼓手,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒,2014,美国,剧情 音乐,8.7,600296,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
192.冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,冰川时代,2002,美国,喜剧 动画 冒险,8.6,627031,松鼠才是角儿。
193.恐怖游轮,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,883470,不要企图在重复中寻找已经失去的爱。
194.贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,2008,英国,剧情 爱情,8.6,755817,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
195.牯岭街少年杀人事件,杨德昌 Edward Yang,张震,1991,中国台湾,剧情 犯罪,8.9,309349,弱者送给弱者的一刀。
196.东邪西毒,王家卫 Kar Wai Wong,张国荣,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,585577,电影诗。
197.魔女宅急便,宫崎骏 Hayao Miyazaki,高山南,1989,日本,动画 奇幻 冒险,8.7,468991,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
198.东京教父,今敏 Satoshi Kon,江守彻,2003,日本,剧情 喜剧 动画,9.0,238399,无
199.遗愿清单,罗伯·莱纳 Rob Reiner,杰克·尼科尔森,2007,美国,冒险 喜剧 剧情,8.7,473419,用剩余不多的时间，去燃烧整个生命。
200.大佛普拉斯,黄信尧 Hsin-yao Huang,庄益增,2017,中国台湾,剧情 喜剧,8.7,472033,人们可以登上月球，却永远无法探索人们内心的宇宙。
201.你看起来好像很好吃,藤森雅也 Masaya Fujimori,山口胜平,2010,日本,剧情 动画 儿童,8.9,339548,感情不分食草或者食肉。
202.可可西里,陆川 Chuan Lu,多布杰,2004,中国大陆 中国香港,剧情 犯罪,8.9,309468,坚硬的信仰。
203.真爱至上,理查德·柯蒂斯 Richard Curtis,休·格兰特,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,742026,爱，是个动词。
204.黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼,2010,美国,剧情 惊悚,8.6,790173,黑暗之美。
205.城市之光,Charles Chaplin,查理·卓别林,1931,美国,喜剧 剧情 爱情,9.3,150679,永远的小人物，伟大的卓别林。
206.源代码,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,848512,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
207.海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克,2016,美国,剧情 家庭,8.6,558222,我们都有权利不与自己的过去和解。
208.雨人,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼,1988,美国,剧情,8.7,410311,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
209.波西米亚狂想曲,布莱恩·辛格 Bryan Singer,拉米·马雷克,2018,英国 美国,剧情 传记 同性 音乐,8.6,617761,无
210.初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,初恋这件小事,2010,泰国,剧情 喜剧 爱情,8.5,991060,黑小鸭速效美白记。
211.恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林,2004,美国,剧情 爱情,8.5,683249,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
212.青蛇,徐克 Hark Tsui,张曼玉,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,537021,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
213.人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙,2001,美国 英国,剧情 科幻,8.7,455107,对爱的执着，可以超越一切。
214.末路狂花,雷德利·斯科特 Ridley Scott,吉娜·戴维斯,1991,美国 英国 法国,犯罪 剧情 惊悚,8.9,267647,没有了退路，只好飞向自由。
215.虎口脱险,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯,1966,法国 英国,喜剧 战争,8.9,262904,永远看不腻的喜剧。
216.终结者2：审判日,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格,1991,美国 法国,动作 科幻,8.8,347765,少见的超越首部的续集，动作片中的经典。
217.疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,汤姆·哈迪,2015,澳大利亚 美国,动作 科幻 冒险,8.7,540789,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
218.罗生门,黑泽明 Akira Kurosawa,三船敏郎,1950,日本,剧情 犯罪 悬疑,8.8,321334,人生的N种可能性。
219.新龙门客栈,李惠民 Raymond Lee,张曼玉,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,453608,嬉笑怒骂，调风动月。
220.无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特,2009,德国 美国,剧情 犯罪,8.7,489275,昆汀同学越来越变态了，比北野武还杜琪峰。
221.千钧一发,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克,1997,美国,剧情 科幻 惊悚,8.8,306883,一部能引人思考的科幻励志片。
222.崖上的波妞,宫崎骏 Hayao Miyazaki,奈良柚莉爱,2008,日本,动画 奇幻 冒险,8.6,509394,无
223.芙蓉镇,谢晋 Jin Xie,刘晓庆,1987,中国大陆,剧情 爱情,9.3,146714,无
224.萤火虫之墓,高畑勋 Isao Takahata,辰己努,1988,日本,动画 剧情 战争,8.7,409756,幸福是生生不息，却难以触及的远。 
225.花束般的恋爱,土井裕泰 Nobuhiro Doi,菅田将晖,2021,日本,剧情 爱情,8.6,651071,无
226.彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼,2013,美国 英国,科幻 悬疑 惊悚,8.6,595524,小成本大魅力。
227.爱乐之城,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林,2016,美国,剧情 爱情 歌舞,8.4,920218,无
228.奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱,2017,美国 中国香港,剧情 儿童 家庭,8.6,559277,世界不完美，爱会有奇迹。
229.黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,黑客帝国2：重装上阵,2003,美国,动作 科幻,8.7,413498,一个精彩的世界观正在缓缓建立。
230.二十二,郭柯 Ke Guo,2015,2015,中国大陆,纪录片,8.7,295565,有一些东西不应该被遗忘。
231.哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,丹尼尔·雷德克里夫,2010,英国 美国,奇幻 冒险,8.5,592121,最忠于原著的一部。
232.血钻,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,386981,每个美丽事物背后都是滴血的现实。
233.战争之王,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇,2005,美国 德国,剧情 犯罪,8.7,375949,做一颗让别人需要你的棋子。
234.火星救援,雷德利·斯科特 Ridley Scott,马特·达蒙,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,744919,无
235.步履不停,是枝裕和 Hirokazu Koreeda,阿部宽,2008,日本,剧情 家庭,8.8,285138,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
236.房间,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,372785,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
237.魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽,1940,美国,剧情 爱情 战争,8.8,283748,中国式内在的美国电影。
238.千年女优,今敏 Satoshi Kon,庄司美代子,2001,日本,动画 剧情 爱情,8.8,275562,爱情是一场没有尽头的虚幻追逐。
239.谍影重重2,保罗·格林格拉斯 Paul Greengrass,马特·达蒙,2004,美国 德国,动作 悬疑 惊悚,8.7,359968,谁说王家卫镜头很晃？
240.白日梦想家,本·斯蒂勒 Ben Stiller,本·斯蒂勒,2013,美国 英国,剧情 喜剧 冒险,8.6,503122,无
241.哈利·波特与凤凰社,大卫·叶茨 David Yates,丹尼尔·雷德克里夫,2007,英国 美国,奇幻 冒险,8.5,586748,无
242.高山下的花环,谢晋 Jin Xie,吕晓禾,1985,中国大陆,剧情 战争,9.5,94187,无
243.弱点,约翰·李·汉考克 John Lee Hancock,桑德拉·布洛克,2009,美国,剧情 家庭 传记 运动,8.7,316853,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
244.蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,蜘蛛侠：平行宇宙,2018,美国,动作 科幻 动画 冒险,8.6,680979,无
245.谍影重重,道格·里曼 Doug Liman,马特·达蒙,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,436475,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
246.阿飞正传,王家卫 Kar Wai Wong,张国荣,1990,中国香港,犯罪 剧情 爱情,8.5,519863,王家卫是一种风格，张国荣是一个代表。
247.朗读者,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特,2008,美国 德国,剧情 爱情,8.6,459277,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
248.再次出发之纽约遇见你,约翰·卡尼 John Carney,凯拉·奈特莉,2013,美国,喜剧 爱情 音乐,8.6,434250,爱我就给我看你的播放列表。
249.燃情岁月,爱德华·兹威克 Edward Zwick,布拉德·皮特,1994,美国,剧情 爱情 战争 西部,8.7,291949,传奇，不是每个人都可以拥有。
250.大红灯笼高高挂,张艺谋 Yimou Zhang,巩俐,1991,中国大陆 中国香港 中国台湾,剧情,8.8,283921,无
