名称,UP主,IP地址,视频摘要,网站,时间,观看次数,点赞数,收藏数,投币数,转发数
结婚那天，新郎是我，新娘也是我,张津铭,四川,好强的创意！,https://b23.tv/BV1ZT4y1n78s,2024.01.15,1952313,340228,25994,15925,24744
【猫和老鼠你没看过的一集】,安徒生不讲古诗,江苏,高能动画燃向剪辑,https://b23.tv/BV1xg4y1S7x3,2024.01.15,9139380,1264706,334257,240725,50425
一场双向奔赴的爱情 | vivo X100系列满分影院,vivo,广东,哪里有什么彩排预演，两情相悦就是最好的谢幕,https://b23.tv/BV1Z5411i7YA,2024.01.15,2771578,9851,1826,1625,1215
世界上最贵的电影是哪国拍的？【神奇组织14】,小约翰可汗,江苏,神奇组织之莫斯科电影制片厂,https://b23.tv/BV18N4y1v7fw,2024.01.15,5602077,325719,65044,152292,18714
我们蜀汉引入了测谎仪技术,女孩为何穿短裙,广东,真乃神奇的科技呀,https://b23.tv/BV1DN4y1v7sB,2024.01.15,4520216,345956,48156,29651,9930
解剖大鱼实验，猫学长竟然跟过来品尝,高校钓鱼之王,上海,把学长放下！,https://b23.tv/BV145411e7w8,2024.01.15,3222138,424522,43954,20893,19516
《原神》宵宫PV短片——「辉夜寄思」,哈米伦的弄笛者,上海,宵宫与烟花的故事,https://b23.tv/BV13Q4y1L794,2024.01.15,1360957,220505,123194,172453,47402
【逆水寒×黄霄雲】前奏一响，注入灵魂！御剑飞行专属BGM《生生世世爱》让谁想上天了？,黄霄雲,浙江,梦幻联动了！,https://b23.tv/BV12N4y1p741,2024.01.15,2100899,132796,27718,21853,15382
（ 西格玛·狮兄 差 点 又 中 了 女 人 的 陷 阱 ）,星有野,广东,智者不入爱河，对不起，我是智障,https://b23.tv/BV1wW4y1P79G,2024.01.15,6901433,475831,100599,111975,22469
为什么一个人小时候越乖，长大越会焦虑？,简存心理,山东,乖巧的孩子经常被恐惧驱动做事，而非热忱,https://b23.tv/BV1sC4y1e7dS,2024.01.15,1570218,150795,92447,31390,23205
一部大尺度三级片，为何横扫香港金像奖？详解真实改编电影《踏血寻梅》,小片片说大片,北京,《踏血寻梅》为何横扫香港金像奖？,https://b23.tv/BV1pw411g79i,2024.01.15,2974333,89513,22830,22264,4078
全职妈妈一边带娃一边原创说唱,大碗姐888,四川,吐字超清晰的rap，使我的耳朵旋转,https://b23.tv/BV1Ti4y1B7WA,2024.01.15,2578924,747829,61011,99320,17166
你们还有什么是瞒着本地人的？,粤知一二,广东,这些特产连本地人都不知道！,https://b23.tv/BV1Zc411x7ZF,2024.01.15,5843074,408292,42610,9755,3199
【MIKU EXPO 10th】Intergalactic Bound by Yunosuke & CircusP feat. Hatsune Miku,初音未来_Crypton,日本,作画细腻，词曲惊艳的高质量周年曲来咯！,https://b23.tv/BV1EK4y1z7St,2024.01.15,3258869,460813,286774,218930,39077
灯光一直闪、屏幕有条纹？彻底搞懂“频闪”是什么！,影视飓风,浙江,教你战胜影视行业的魔头：频闪,https://b23.tv/BV1ua4y127pk,2024.01.15,3559575,153902,66252,55192,9204
也没有人告诉我去漫展这么多人围观啊！？,河野华,上海,COS白荆回廊的织雪,https://b23.tv/BV1kw411E7Vd,2024.01.15,2933695,176447,27246,15995,1954
【戴建业】“大冤种”张怀民就和苏轼玩了一晚，就名垂千古了！|黄冈寻苏记01,戴建业老师,上海,戴建业教授翻墙寻张怀民,https://b23.tv/BV18k4y1S7Ta,2024.01.15,1496789,152639,19979,19137,4305
在1600°C铁花里跳舞有多震撼？当非遗打铁花遇上空舞,紫颜-小仙紫,浙江,在滚烫铁水里，和火树银花共舞,https://b23.tv/BV1d94y1N7Gw,2024.01.15,1395192,145912,35698,45935,5008
【原神动画】宵宫角色PV——「打上花火」,久远丶酱,福建,宵宫和打上花火真的很搭！,https://b23.tv/BV1yN4y1H79W,2024.01.15,1163441,254471,86891,90496,12526
Tokyo style*東京留學生的五種穿搭風格第二彈！！,酷鹿鹿日记本,日本,亚文化穿搭分享,https://b23.tv/BV1z5411e7Cv,2024.01.15,869205,142633,42950,3844,4481
耗时90天花费8000元！我做出了全网最还原的林尼扑克牌！,一颗咕咕星,浙江,还原《原神》PV里的林尼扑克牌,https://b23.tv/BV1Mt4y1R7k4,2024.01.15,5577891,268330,147392,199752,1810
对话中岛美嘉!然后泪洒现场!【HOPICO x 声音速写】,爱唱歌的大学生,北京,这一次，只聊创作本身,https://b23.tv/BV1hi4y1B7vE,2024.01.15,648711,58823,16337,44779,6709
超难极限惊变生存「末日列车」第一期!!？,马里奥红叔,四川,丧尸题材游戏实况，一起活下去！,https://b23.tv/BV1cw411J7wx,2024.01.15,3423951,272013,66738,79784,4213
“这短短十八分钟，看懂的人却花了整整数十年！！”,-柠萌菌-,福建,高质量番剧混剪，满满的回忆和感动！,https://b23.tv/BV1Mg4y1D7tU,2024.01.08,7871448,528238,465031,342348,34202
这一生总要亲眼看一次打铁花吧！,江寻千,广东,请粉丝线下看一场打铁花,https://b23.tv/BV1L64y1J7xC,2024.01.08,9793880,760675,289695,338112,36690
零经费 自拍《三体2：黑暗森林》（自制动画）第03集,刘师兄_liujun,湖北,还原度超高的自制三体模型动画,https://b23.tv/BV1Pc411t7hE,2024.01.08,4824217,429219,202625,462464,40872
羊村第三季（5）,小潮院长,上海,羊村第三季大结局啦！啊吗粽能否走出羊村？,https://b23.tv/BV1ec411t73U,2024.01.08,14021837,670322,289215,623728,17667
【英雄联盟】2024赛季影片：不渝,英雄联盟,上海,过去、现在和可能的未来——英雄之心不渝,https://b23.tv/BV1hV41197rR,2024.01.08,4270817,221224,62550,132915,101696
BILIBILI POWER UP 2023百大UP主盛典 全程回顾（上）,哔哩哔哩UP主服务中心,上海,百大颁奖典礼回顾！快来围观！,https://b23.tv/BV1Nu4y1K7T9,2024.01.08,7685443,96584,82620,20900,3337
16个简单有趣的小食谱～有手就会系列,胡仔一人食,河南,居家精美小吃教程,https://b23.tv/BV1JN4y1v7Ut,2024.01.08,5773227,814460,440591,68448,38379
地球online，但是大学,豆豆豆豆逗是我,四川,细节拉满！好震撼的整活,https://b23.tv/BV1oK4y1B7PU,2024.01.08,6620831,619138,234342,323245,54697
《白荆回廊》上线OP - 「萤火照夜」,白荆回廊,上海,阿兰X白荆回廊！唯美OP，质感拉满,https://b23.tv/BV1pT4y1p7Kd,2024.01.08,6431265,111017,35411,33056,4596
美国的整活大王是谁？【小约翰】,小约翰可汗,江苏,非凡骗局制造者：艾伦·阿贝尔,https://b23.tv/BV14g4y1r71P,2024.01.08,4895488,292733,48046,111803,12860
我上电视啦！！！！,老番茄,上海,游戏里的《楚门的世界》,https://b23.tv/BV1VQ4y1E7oN,2024.01.08,5360618,316231,103989,120809,4580
【一起下暗区第一集】彭昱畅喊话117，26位选手谁将面临淘汰！,暗区突围,上海,暗区突围现场比拼,https://b23.tv/BV1TG411677Z,2024.01.08,2804672,74187,34523,8339,1644
【小寒国风节X谭晶】国家队炸裂高音再唱《赤伶》！绝美戏腔唱尽江湖悲欢离合！,谭晶,北京,绝美国风昆曲舞台,https://b23.tv/BV1x94y1u7Gr,2024.01.08,2551765,108322,40464,43703,11387
中国第一弑君者 | 血腥篡位到王朝崛起,木鱼水心,北京,铁血帝王商汤的传奇故事,https://b23.tv/BV1X64y1K7Ru,2024.01.08,2564063,200378,55908,143758,3554
【刘欢】原神×三星堆博物馆联动推广曲《青铜》,原神,上海,刘欢演唱，方文山作词！这是什么神仙组合,https://b23.tv/BV16t4y1d7XE,2024.01.08,1472171,182990,42606,88951,27794
每天看几小时烂片，坚持二十多年了，是什么体验？【影评人毛尖】,影评人毛尖,上海,毛老师来啦！工作日常竟然是看烂片？,https://b23.tv/BV1tC4y1T7d3,2024.01.08,5966192,880210,162927,186699,42760
南方人不理解的北方行为,粤知一二,广东,搓澡师傅最害怕南方人去北方搓澡,https://b23.tv/BV1QW4y1P7iA,2024.01.08,7643417,456293,42532,7986,4719
【鬼畜大电影】 白给地球2（115分钟完整版）,一本正经的坤仔,广东,剧场版鬼畜！,https://b23.tv/BV1kg4y1D7mR,2024.01.08,1576427,169905,112555,125975,19533
网友强烈要求全国农业大摸底？我们摸很合理吧！【主播说三农】,央视农业,,尔滨回礼掀起一场农业大摸底,https://b23.tv/BV1n94y1T7eh,2024.01.08,2471088,351202,41013,59875,23734
"《事 已 至 此 ,先 吃 蛋 糕 吧》",星有野,广东,好一个英雄救美,https://b23.tv/BV18g4y1D7yy,2024.01.08,6555637,321803,49101,23018,3767
我一个人去日本玩了10天！,吃饭看书打游戏,福建,一个人旅游可太！爽！辣！,https://b23.tv/BV1st4y1d7vt,2024.01.08,1972573,138874,92254,73062,33186
宇宙重生之时，爱便会绽放——《恋与深空》主题曲完整版MV公开！,恋与深空,上海,《恋与深空》同名主题曲上线，莎拉·布莱曼倾情献唱,https://b23.tv/BV19w411u7Pb,2024.01.08,3414000,102079,36697,31459,14479
一刀下去，功德笑没了哈哈哈哈哈哈,窝头是个暴脾气,天津,用面团切出来帕恰狗！,https://b23.tv/BV1pt4y1d71s,2024.01.08,5152678,115216,18386,23975,4683
1/24比例全电控化爆甲独角兽，完结撒花，完全胜利！！！！！,欢哥的模玩世界,吉林,现在玩胶都这么卷吗？,https://b23.tv/BV1Ut4y1d7De,2024.01.08,1333558,240441,65349,89548,40539
在纸上刷B站,棕与灰9,北京,耗时20天和500张画的奇迹,https://b23.tv/BV11Q4y1L7P8,2024.01.08,2696233,550591,59771,94526,5616
【动物配音】是2023年度合集啊啊啊！！！,Coulson不讲李,山东,笑到头掉！,https://b23.tv/BV13T4y1n7Xe,2024.01.08,9711010,690488,272917,72896,67772
"孙继海：我要让大家知道,中国的足球是有公正公平的！",足球记忆,重庆,中国足球背后的阻力是什么,https://b23.tv/BV1hW4y1P7Qb,2024.01.08,1113430,78249,10167,45319,4727
《鲑 鱼 盛 宴 II》,狂野脉动,河北,棕熊和鲑鱼异口同声：妈妈，今晚不用煮我的饭了,https://b23.tv/BV1QG411q7Bx,2024.01.08,4353296,271106,39310,39799,6337
他们以为我疯了 其实我成为了白日梦想家,阿猪米德,澳大利亚,省流：千万别省，一定要看到最后！,https://b23.tv/BV19c411b7Se,2024.01.08,3534066,369545,138690,259115,41703
《甄嬛传》之 甄嬛的一生 (下),惊奇动物园oopspark,陕西,甄嬛的一生系列完结撒花！,https://b23.tv/BV1nw411u7sf,2024.01.08,6131198,469586,107371,86036,31347
河野华：我们在现实相遇｜佳人有约,佳能同学会,北京,带你了解河野华更真实的一面,https://b23.tv/BV16i4y1z7SD,2024.01.08,2062025,129120,43869,33187,5158
从《聊斋》到《一念关山》，大女主剧为何沦为大男子叙事?弱男恐惧如何毁掉大女主剧的人物塑造，我们所期待的女性形象和创作模板是怎样的?,惜我余生,江苏,大女主剧应该是怎样的,https://b23.tv/BV1RK4y167ZK,2024.01.08,730118,39859,12025,16967,1819
我们仍未知道那天的同事的名字,papi酱,北京,省流：入职第一天全在上口语课,https://b23.tv/BV1At4y1R7sZ,2024.01.08,2690613,224569,6329,12092,6947
【ITZY】“UNTOUCHABLE” M/V,ITZY,中国香港,2024开年阳间曲,https://b23.tv/BV1nW4y1N7zh,2024.01.08,1960676,100507,49253,59827,25031
汪苏泷｜《碎月》王者荣耀：荣耀之章碎月篇主题推广曲,王者荣耀,四川,汪苏泷 X 王者荣耀，这是什么神仙组合,https://b23.tv/BV1cK4y167wP,2024.01.08,1168544,65972,8797,7124,2105
我一分钱都没花！不敢！！穷怕了！！！《人民的名义》精讲第一期,东倾电影,山西,《人民的名义》金牌解说,https://b23.tv/BV17c411879z,2024.01.08,3951991,121766,42849,41257,6807
【自制动画】《等很久了，钥匙》又是一枚酷姐 哈哈哈！！,旋风博文,北京,自制高质量动画手书,https://b23.tv/BV1st4y1Z7UC,2024.01.08,7435609,1662333,474829,327418,29981
六镇之乱|| 混乱是阶梯的隋唐祖源，八柱国世家的攀爬起点,渤海小吏,天津,大唐从这里起航了！,https://b23.tv/BV1Pa4y1m7RJ,2024.01.08,2104012,87515,19418,39987,2780
春晚表演最强小品！本山大叔套路深，把小范忽悠得好赖不分！【难忘今朝2001】,培根悖论唠唠嗑,北京,走进新世纪的第一台春晚，感受新世纪的第一个春节,https://b23.tv/BV1at4y1Z79e,2024.01.08,1414370,62837,15624,42396,4313
人均不到20块，贵州瞒着大家偷偷吃这么好？,日食记,上海,在贵州过苗年，最多可以同时和1000人在一张桌子上吃饭,https://b23.tv/BV1NK411x7c6,2024.01.08,3011954,192130,71299,164224,49680
乡村真人版《火影忍者》,阿拉丁狗蛋儿,山东,毫无特效痕迹，主打真实！,https://b23.tv/BV1694y1M7Ry,2024.01.08,2949309,264347,60865,80844,56268
“对不起了众神，平局了”,二代二代,陕西,故事线完整、情节流畅的宝藏MAD,https://b23.tv/BV1BC4y1i7sh,2024.01.08,1895161,101943,39669,41853,1931
关于哈尔滨火了以后我的哈尔滨室友心态崩了这件事,是景岁啊,北京,谁说哈尔滨是讨好型市格的（doge,https://b23.tv/BV1iC4y1K7fu,2024.01.08,673814,26822,1727,965,1733
《崩坏：星穹铁道》阮梅原创同人曲《故我逢真》,KBShinya,江西,阮梅原创同人曲,https://b23.tv/BV1v94y1M74S,2024.01.08,606227,49626,27674,17034,2331
【白西瓜】COS｜努力成为喜欢的角色第39天之娜维娅,白西瓜SY,浙江,大名鼎鼎的娜维娅,https://b23.tv/BV1NK411v74y,2024.01.08,934789,216448,28319,33349,4568
《春晚没这节目我不看》,粮粮不会凉,四川,白云黑土之春晚舞蹈,https://b23.tv/BV11T4y1W7VR,2023.07.02,10310566,1727226,402735,499022,153255
羊村第三季（4）,小潮院长,上海,久经沙场无人敌，小潮team不分离！,https://b23.tv/BV1pp4y1o7sE,2023.07.02,14269867,624963,249430,495563,13582
荒淫亡国史 | 中国第一暴君的末日狂欢,木鱼水心,北京,中国历史上第一位被记载的暴君——夏桀,https://b23.tv/BV12Q4y177vj,2023.07.02,5475577,413905,138312,233612,8266
大型纪录片之《大型纪录片》,麦克阿瑟MacArthur,广东,大型纪录片之我是真的麦克阿瑟扮演者,https://b23.tv/BV1rT4y1W7Pr,2023.07.02,4747588,614345,116243,319319,10964
孙燕姿《绿光+神奇+逆光》金曲串烧全场大合唱！【2023最美的夜】,大家的音乐机,上海,镇站之宝《绿光》AMV发布的13年后，孙燕姿真的来B站唱绿光了！,https://b23.tv/BV13G411r7b4,2023.07.02,4551398,99145,5689,45887,22369
18岁，事冠军侯,万灵缝合厂,广东,从鬼畜中学历史知识咯,https://b23.tv/BV1FT4y1x7ZA,2023.07.02,8447437,564145,157135,300317,36827
世界最穷国家是哪个？【奇葩小国50】,小约翰可汗,江苏,奇葩小国之布隆迪,https://b23.tv/BV1MG411r7FZ,2023.07.02,7084362,357444,62219,184094,13858
丢盔弃甲！彻底破防！2023年10月新番完结吐槽大总结！【泛式】,泛式,上海,10月新番表现如何,https://b23.tv/BV1sC4y1N7z5,2023.07.02,4144201,392687,85801,271020,24410
从东北横跨黑龙江，赶俄罗斯早市！中俄边境一江之隔的城市什么样？,食贫道,北京,零下30度的“中俄双子城”,https://b23.tv/BV1hQ4y1777C,2023.07.02,3407958,173662,25271,84544,13393
2023年的道歉信,papi酱,北京,《声泪俱下道歉信》,https://b23.tv/BV1uG411r7qD,2023.07.02,2926620,338141,17452,68549,18187
1500天审美观察，2020-2023网络热点妆容变化,朵朵花林,浙江,网络热门妆容盘点,https://b23.tv/BV1TT4y1W7yp,2023.07.02,4224840,660209,111252,91792,21125
《蛋仔派对》× 三丽鸥家族联动PV -「三丽鸥家族游园会」,网易蛋仔派对,广东,与酷洛米、大耳狗共度惬意时光！,https://b23.tv/BV1yg4y167ht,2023.07.02,1643804,22654,17182,700,975
听说尔滨火了？我那土生土长的哈尔滨叔叔坐不住了,盗月社食遇记,山东,哈尔滨叔叔体验成为美食节目主持人,https://b23.tv/BV1bK411s7Sd,2023.07.02,4154124,207407,20104,80654,8507
【硬核】一口气了解美联储 | 全球权力最大的金融机构,小Lin说,北京,世界上对金融市场影响力最大的机构,https://b23.tv/BV1uC4y1q79G,2023.07.02,3424905,145205,51687,76514,13902
首次揭秘：B站百大是怎么选出来的？,-LKs-,北京,B站百大的评选标准是什么？,https://b23.tv/BV1Ec411k7Yj,2023.07.02,1817053,145444,28831,43934,5269
《重返未来：1999》2024新春特别版本·1.6版本PV：朔日手记,重返未来1999,广东,新春特别版本PV,https://b23.tv/BV1Pw41147QK,2023.07.02,3091339,123368,28480,37303,31451
拥有燃烧之魂的人会引发奇迹【水无月菌】,水无月菌,上海,游戏效果拉满,https://b23.tv/BV1yi4y1h7Hj,2023.07.02,2764990,167273,31941,104030,14541
100人公司捉迷藏，胜者瓜分10000元！影视飓风团建整活1.0,飓多多StormCrew,浙江,老板出10000奖金举办捉迷藏比赛,https://b23.tv/BV1hi4y1z7W1,2023.07.02,9498571,555258,127632,139544,19640
相聚云梦，周深《千灯之约·云梦版》陪你温暖跨年！,王者荣耀,四川,世界是一个巨大的千灯之约！,https://b23.tv/BV1TN4y1B7c3,2023.07.02,1387271,50214,13080,16254,1851
舅哥好，我是绫华男朋友,漾少侠,广东,见家长要用测谎仪？,https://b23.tv/BV1Ac411y7Ep,2023.07.02,3221912,489771,98537,34329,30179
【原神HoYoFair】最后的面包店【狄龙顾dillongoo】,狄龙顾,中国香港,从剧本到设计都出色的原神二创短片,https://b23.tv/BV1aa4y1z7L9,2023.07.02,2873373,391538,175338,119151,25144
结局相当智障！,默剧小白,广东,这默剧有上世纪的味道了,https://b23.tv/BV1PC4y1q7Xn,2023.07.02,3099197,357542,54464,61844,8545
【凤凰传奇新歌】欢迎来到国风统治区：唢呐一响神曲《铁衣》燃爆登场！,凤凰传奇,北京,凤凰传奇X逆水寒,https://b23.tv/BV1r94y1F7Ny,2023.07.02,3438606,217227,44193,63465,22751
这怎么忍心吃掉啊？！,Tiger西西,陕西,奇妙猫糕制作教程,https://b23.tv/BV1gN4y1s7Hu,2023.07.02,2410504,372343,19942,27735,8318
【原神HoYoFair2024动画短片】愚人众执行官 - 冰杯之乱,KieruArt,加拿大,好新的艺术风格！,https://b23.tv/BV1Ga4y1z7NK,2023.07.02,1681764,257541,162633,77433,12757
开派对不叫我是吧？！！,马刀刻森,江苏,灰姑娘爽文改编版,https://b23.tv/BV11w411G7Fm,2023.07.02,5029427,276937,152068,114162,11763
16位UP今年最贵买了啥？几十万的东西竟然还能有赚？,大狸子切切里,广东,15位不同分区的UP今年花的最大一笔钱都买了些啥？,https://b23.tv/BV1ec411b7AG,2023.07.02,1554086,81548,15999,19249,2933
【哈尔滨】“尔滨你变了...你让我感到陌生”,司墨尧smile,天津,二手玫瑰《命运》创意改编,https://b23.tv/BV1nW4y1P7C5,2023.07.02,3427611,287024,44780,36965,17348
【鱼肉肉】一口气跳完2023年热门宅舞！,鱼肉肉pabo,广东,省流：鞋都跳飞了,https://b23.tv/BV1me41167DV,2023.07.02,2565821,490301,117504,45666,6734
去了趟新疆，我患上了巨物恐惧症......,期末77,浙江,没有人能在这样的环境下不对天地心生敬畏,https://b23.tv/BV1kC4y1N7DL,2023.07.02,5227220,251909,145855,113813,60645
讲述她的故事 不必虚构他的戏份,阿时爱吃红烧肉,江苏,要讲真正的女性的故事,https://b23.tv/BV1di4y1674i,2023.07.02,1152675,269064,47901,26005,1822
“人不可能一直倒霉吧”,星雨Starrain,四川,卡点与剧情的极致配合！,https://b23.tv/BV1xK411b78e,2023.07.02,10365019,476056,281113,102917,3992
伏笔多到头皮发麻 年终近万字爆肝 个人最佳召唤系邪教电影《遗传厄运》,个色兔子,江苏,恐怖片爱好者必看！,https://b23.tv/BV1tQ4y1J7j3,2023.07.02,3631202,62031,64781,16414,6887
【RAY】把高达放进鱼缸，是你没见过的花海！【PG 00R高达场景模型制作】,RAY的模型世界,上海,满分高达场景制作,https://b23.tv/BV1og4y1k7y1,2023.07.02,1042206,81018,34584,56041,16507
【阿斗】68万人打出8.3分！一部电影3人同时获封影帝，最优秀的国产悬疑电影之一《烈日灼心》,阿斗归来了,湖北,一部电影3人同时获封影帝,https://b23.tv/BV1B64y1J7s6,2023.07.02,3501382,121905,22369,30679,3694
打字速度提升两倍？比五笔还快！2024 你可以尝试一下双拼输入,玄离199,河南,双拼输入法是什么？一个月打字速度能翻倍？,https://b23.tv/BV1Xp4y1R7Dw,2023.07.02,5762271,181445,208284,30666,6395
为什么今天再也没人提“百慕大三角”了？,李论科学,陕西, 频率错觉“孵化”了百慕大三角的传说,https://b23.tv/BV1ot4y1o7Rb,2023.07.02,3892085,139765,18034,8846,3055
给唐太宗打工穿什么？步辇图神还原！初唐穿衣层次,我是411,陕西,给唐太宗打工的小侍女怎么打扮？,https://b23.tv/BV1it4y1f7K1,2023.07.02,305046,29203,6495,14447,741
羊村第三季（3）,小潮院长,上海,小精灵大闹羊村！,https://b23.tv/BV1nu4y1T7Ki,2023.12.25,14040604,700067,274453,595116,18102
《致障公司》,老番茄,上海,质量超高的团建实况系列,https://b23.tv/BV12i4y187Sn,2023.12.25,9014457,516316,182553,363137,44384
“怎么会有人婚礼办得像春晚啊？？？”,三宋在这,山东,这就是想象中的幸福！,https://b23.tv/BV1nb4y1G7TC,2023.12.25,3549201,329938,131581,456255,105353
周杰伦新歌《圣诞星》改编翻唱  改成这样实属胆大妄为,大力滴滴滴,浙江,杰味很浓的周杰伦新歌改编,https://b23.tv/BV1bN4y1s7uZ,2023.12.25,5020115,365149,188182,323133,99024
这到底是做菜还是魔法？锅里煮的丸子竟然能听懂人话了！,南翔不爱吃饭,江苏,古代失传名菜《雪里藏珍》,https://b23.tv/BV15p4y1d7am,2023.12.25,20060668,547143,168197,47004,5840
当我相信了东北人的简单吃一点2,盗月社食遇记,上海,两个南方人给东北人做铁锅炖,https://b23.tv/BV1FG411k7L4,2023.12.25,5516730,213667,33246,143195,7125
【亮记生物鉴定】网络热传生物鉴定50,无穷小亮的科普日常,北京,涨知识系列又更新！,https://b23.tv/BV1RK411t7WS,2023.12.25,7007547,630709,56823,109918,25570
火柴人 VS 我的世界系列 第三十三集 幸运方块权杖,火柴人AlanBecker,北京,火柴人 VS 我的世界,https://b23.tv/BV1FQ4y1g7eL,2023.12.25,10548079,335144,201949,109488,12387
《崩坏：星穹铁道》千星纪游PV：「阮声落华裳，梅出似点妆」,崩坏星穹铁道,上海,阮·梅的故事,https://b23.tv/BV1pb4y1V7Qw,2023.12.25,4296881,363693,90432,185847,76024
我花9天建了一栋可以吃的房子！,绵羊料理,上海,做一栋可以吃的饼干人小屋,https://b23.tv/BV1Mi4y167kQ,2023.12.25,4413155,240465,36726,75862,3336
“这个世界离不开英雄主义的年轻人”,叛逆少女刘开心,湖南,而你，我的朋友，你才是真正的大马士革玫瑰,https://b23.tv/BV1ac411r7UY,2023.12.25,3070976,567045,80459,430001,9092
我做了个缩小一倍的房子,爱鼓捣的邢志磊,河南,层高只有一米四的房子,https://b23.tv/BV1Li4y1Y7Lc,2023.12.25,13319658,967239,105874,47517,13156
评分6.9！近年最牛逼剧场版？诚实吐槽柯南M26黑铁的鱼影！,瓶子君152,上海,柯南M26评价如何,https://b23.tv/BV1Di4y187Gu,2023.12.25,3012659,161260,32946,68537,20047
"2023过去了,该说点什么呢?",百万剪辑狮,北京,2023年度混剪,https://b23.tv/BV1vb4y137gh,2023.12.25,3441908,290208,194573,241020,59460
各地食物的正确食用方式,粤知一二,广东,全国各地的习惯原来差异这么大,https://b23.tv/BV1np4y1Z7wR,2023.12.25,6355590,359054,48425,9164,4017
百年历史喜剧重制！1923年的国内默剧！哈哈哈,默剧小白,浙江,好用心的制作！,https://b23.tv/BV1B94y1w7WZ,2023.12.25,1880239,231376,30857,73346,6419
《 梦 中 情 人 》,星有野,广东,有些人，一旦错过就不在。,https://b23.tv/BV1EN4y147co,2023.12.25,5727886,562076,153870,253841,41498
如何打造登月相机？【小约翰】,小约翰可汗,江苏,哈苏的故事,https://b23.tv/BV1DC4y1q7db,2023.12.25,3431277,222752,34910,94475,10301
只要我一回家，我妈就像个导购一样。,papi酱,北京,好真实的剧情,https://b23.tv/BV1Ee411z7i7,2023.12.25,3581459,331233,11072,20732,12680
暗区突围 X bilibili 联合活动主题月启动！,暗区突围,上海,洛天依和中国奇谭正版授权联动来袭！,https://b23.tv/BV1Cj411n7wE,2023.12.25,2299677,122432,14258,6295,2668
外语巅峰对决-付航脱口秀,付航脱口秀,北京,殷氏英语是吧,https://b23.tv/BV1VK411t7LY,2023.12.25,7554045,875358,133054,56967,66440
【最强唐僧2】妖怪小心啊！！！,三木刃,安徽,妖怪小心啊！唐僧又来炸场了！！！,https://b23.tv/BV1VQ4y1u7rt,2023.12.25,7205423,347053,96182,90750,59031
超前美学探讨！2024淘宝丑东西颁奖盛典来了,淘宝,浙江,第四届丑东西颁奖盛典,https://b23.tv/BV1Hc411178z,2023.12.25,4339257,210068,34383,20637,50558
"【官方双语】我从中国偷运来了115寸大电视！ - TCL 115""X11G Max开箱#linus谈科技",LinusTechTips,中国澳门,巨型屏幕电视,https://b23.tv/BV1kN4y1s7Ea,2023.12.25,4125386,134030,22612,14368,7198
圣 诞 真 人,老支和啾啾,贵州,最无为转变的一集,https://b23.tv/BV1hT4y1s7u1,2023.12.25,1330895,177717,35220,12205,19466
《绝区零》妮可角色PV | 希望的标价,绝区零,上海,“圆圆的金属，拿在手里有股让人安心的重量感。”,https://b23.tv/BV1ya4y1z7XG,2023.12.25,3497501,336065,57614,128658,11077
“新年快乐，我的小熊”,时尚美杜莎,广东,将快乐带给别人，悲伤留给自己,https://b23.tv/BV1gw41157Sh,2023.12.25,8649224,232251,234263,17387,670
2023国产烂片爆笑盘点，暨第七届中国电影金菊花颁奖典礼！,刘老师说电影,北京,2023国产烂片盘点,https://b23.tv/BV1zb4y1376w,2023.12.25,3278475,158488,17416,43543,12687
自制新型摆摊神器：零食贩卖车,手工耿,河北,手工耿开始手搓柴油车,https://b23.tv/BV1xt4y1f7om,2023.12.25,4607112,239230,15094,38964,5182
在河北廊坊，成百上千的婚纱照正排队进入粉碎机……,一条视频,上海,粉碎婚纱照代表着人们对一段关系的断舍离,https://b23.tv/BV1Xi4y1h7V4,2023.12.25,721241,61254,8689,3327,10289
《繁花》,济公爷爷_游本昌,河北,本昌爷爷台词功力太深厚啦,https://b23.tv/BV1yc411r77j,2023.12.25,4457578,520824,110470,76669,24490
在北极圈过圣诞：牛！圣诞老人村的海陆空大餐，芬兰餐桌太生猛,Yooupi食途,法国,在北极圈过圣诞是什么体验,https://b23.tv/BV17e411z7Qu,2023.12.25,1617301,118606,11438,66402,3328
【崩坏：星穹铁道 HoYoFair】银河大奖赛动画CM,暗猫の祝福,上海,坐上你的D轮，来一场酣畅淋漓的决斗吧,https://b23.tv/BV18c411r7s1,2023.12.25,1087888,195622,54835,18989,8524
"""她用亲人的骨肉，造了一座鲜血牢笼！""",盒子酸奶,陕西,恐怖剧情游戏实况,https://b23.tv/BV1Si4y1a7Tm,2023.12.25,6821873,281659,156668,36414,9043
【说唱】深夜，领导竟然在公司...,Spylent,辽宁,《年会不能停！》高能推广曲,https://b23.tv/BV1t94y1F7XD,2023.12.25,3879420,206495,115001,122186,59243
【深渊的呼唤VII】宣传视频——《疯狂末世-Madness's Descent》,网易第五人格手游,广东,向深渊中探索,https://b23.tv/BV15p4y1d7Z5,2023.12.25,2275854,100348,29262,25936,26883
2 0 2 3 热 梗 年 度 总 结【梗指南】,梗指南,江西,2023年度热梗总结,https://b23.tv/BV1De411z74R,2023.12.25,4951948,209292,47738,17781,10262
